"CourseMajor";"CourseID";"ID";"CourseName";"CreditHour";"LectureHour";"LabHour";"Attribute";"GradeMode";"Prerequisite";"Corequisite"
"EDST";"EDST 4681";"4681";"Clinical Teaching 7-12";6;1;40;"";"0";"Admittance to the Educator Preparation Program; 2.75 Overall GPA; additional coursework may not be taken concurrently; for undergraduate students, all other degree-required coursework must be completed.";""
"EDST";"EDST 4687";"4687";"Clinical Teaching EC-6";6;1;40;"";"0";"Admittance to the Educator Preparation Program; 2.75 Overall GPA; additional coursework may not be taken concurrently; for undergraduate students, all other degree-required coursework must be completed.";""
"EDP";"EDP 1350";"1350";"Effective Learning";3;3;0;"";"1";"";""
"EDP";"EDP 2150";"2150";"Strategic Learning";1;1;0;"";"1";"";""
"EDTC";"EDTC 3300";"3300";"Introduction to Educational Technology";3;3;0;"";"1";"";""
"EE";"EE 2400";"2400";"Circuits I";4;3;2;"009";"1";"MATH 2471";""
"EE";"EE 2420";"2420";"Digital Logic";4;3;2;"009 047";"1";"";"CS 1428"
"EE";"EE 3326";"3326";"Numerical and Scientific Data Analysis Using Python";3;2;2;"009";"1";"CS 1342 or CS 1428";""
"EE";"EE 3340";"3340";"Electromagnetics";3;3;0;"009";"1";"EE 3400 and MATH 2393 and PHYS 2425 and PHYS 2435";""
"EE";"EE 3350";"3350";"Electronics I";3;3;2;"009 047";"1";"EE 3400";""
"EE";"EE 3355";"3355";"Solid State Devices";3;3;0;"009 047";"1";"EE 3400 and PHYS 2425";""
"EE";"EE 3370";"3370";"Signals and Systems";3;3;0;"009";"1";"EE 3400";""
"EE";"EE 3400";"3400";"Circuits II";4;3;2;"009";"1";"EE 2400 and MATH 3323";""
"EE";"EE 3420";"3420";"Microprocessors";4;3;3;"009 044";"1";"EE 2420";""
"EE";"EE 4321";"4321";"Digital Systems Design Using HDL";3;3;0;"009";"1";"EE 3420";""
"EE";"EE 4323";"4323";"Digital Image Processing";3;3;0;"009";"1";"EE 3370 and EE 3420";""
"EE";"EE 4331";"4331";"Introduction to Machine Learning for Engineering Applications";3;3;0;"009";"1";"CS 1428 or CS 1342";""
"EE";"EE 4332";"4332";"Introduction to Computer-Aided Engineering Simulation on HPC Systems";3;3;0;"009";"1";"CS 1428";""
"EE";"EE 4350";"4350";"Electronics II";3;3;2;"009 047";"1";"EE 3350";""
"EE";"EE 4351";"4351";"Fundamentals of Electroceramics";3;3;2;"009";"1";"ENGR 2300 and a minimum 2.25 Overall GPA";"EE 3355"
"EE";"EE 4352";"4352";"Introduction to VLSI Design";3;3;1;"009 047";"1";"EE 3350 and [CS 2420 or EE 2420]";""
"EE";"EE 4353";"4353";"Fundamentals of Advanced Semiconductor Technology";3;3;0;"009";"1";"EE 3355";""
"EE";"EE 4354";"4354";"Flexible Electronics";3;3;0;"009";"1";"EE 3350 and EE 3355 and EE 4350 or instructor approval";""
"EE";"EE 4355";"4355";"Analog and Mixed Signal Design";3;3;2;"009 047";"1";"EE 3370 and EE 4350";""
"EE";"EE 4356";"4356";"Power Electronics";3;3;0;"009";"1";"EE 4350";""
"EE";"EE 4357";"4357";"Introduction to Power Systems";3;3;0;"009";"1";"EE 3400 or ENGR 3373";""
"EE";"EE 4358";"4358";"Introduction to Microelectromechanical Systems";3;3;1;"009 047";"1";"MFGE 4392";""
"EE";"EE 4359";"4359";"Advanced Electronic Materials and Devices";3;3;0;"009";"1";"EE 3350";""
"EE";"EE 4360";"4360";"Linear Control Systems";3;3;0;"009";"1";"EE 3370 and MATH 3377";""
"EE";"EE 4370";"4370";"Communication Systems";3;3;2;"009 047";"1";"EE 3370 and IE 3320";""
"EE";"EE 4372";"4372";"Communication Networks";3;3;1;"009 047";"1";"EE 3420";"EE 3370"
"EE";"EE 4374";"4374";"Introduction to Wireless Communication";3;3;1;"009 047";"1";"EE 4370";""
"EE";"EE 4375";"4375";"Building a Smart Grid Architecture";3;3;0;"009";"1";"EE 3370";""
"EE";"EE 4376";"4376";"Introduction to Telecommunications";3;3;1;"009 047";"1";"EE 4370";""
"EE";"EE 4377";"4377";"Introduction to Digital Signal Processing";3;3;1;"009 047";"1";"EE 3370";""
"EE";"EE 4378";"4378";"Data Compression and Error Control Coding";3;3;0;"009 047";"1";"EE 4370";""
"EE";"EE 4390";"4390";"Electrical Engineering Design I";3;2;2;"009 047 044";"1";"EE 3420 and EE 3350 and EE 3370 and IE 3320";"EE 4352 or EE 4356 or EE 4360 or EE 4370"
"EE";"EE 4391";"4391";"Electrical Engineering Design II";3;2;2;"009 047 044";"1";"EE 4390";"EE 4352 or EE 4370"
"EE";"EE 4392";"4392";"Microelectronics Manufacturing I";3;3;2;"009";"1";"CHEM 1341 or CHEM 1335";""
"EE";"EE 4394";"4394";"Microelectronics Manufacturing II";3;3;2;"009";"1";"EE 4392 or MFGE 4392";""
